review_text,rating,sentiment
This air fryer is so-so. Delivery took about a week. Rating: 3/5.,3,neutral
"This wireless mouse is sturdy. It feels premium for the price. However, some features are useful, others aren't.",5,positive
This smartwatch is responsive.,3,positive
"This phone case is middle of the road. Works as described, no surprises. Overall it's didn't disappoint.",3,neutral
This backpack is affordable.,5,positive
"Bought this blender a few weeks ago. I would definitely buy this again. On teh plus side, it's fine for teh price but I wouldn't rave about it. Overall it's not great.",5,positive
This headphones is superb. The build quality is great.,5,positive
This desk lamp is amazing.,4,positive
This backpack is defective.,1,negative
This vacuum cleaner is fine.,3,neutral
"Bought this bluetooth speaker a few weeks ago. The build quality is great. That said, customer support never responded.",5,positive
This yoga mat is top notch. Overall it's not bad.,4,positive
"This desk lamp is fine. Works as described, no surprises.",2,neutral
This backpack is nothing special.,3,neutral
This desk lamp is uncomfortable.,2,negative
This bluetooth speaker is amazing. Shipping was fast and packaging was solid.,5,positive
This phone case is subpar.,2,negative
"This vacuum cleaner is excellent. On teh downside, the size runs way smaller than expected.",4,positive
This vacuum cleaner is subpar.,3,positive
This air fryer is badly made. The size runs way smaller than expected.,1,negative
"Bought this coffee maker a few weeks ago. I would definitely buy this again. Also, it's fine for teh price but I wouldn't rave about it.",3,positive
This smartwatch is frustrating.,2,negative
This headphones is worth every penny. Overall it's didn't disappoint. Rating: 4/5.,4,positive
Bought this backpack a few weeks ago.,4,neutral
This coffee maker is useless. I had to return it after two days.,1,negative
This blender is disappointing. The instructions were confusing. Overall it's could be better. Rating: 3/5.,3,negative
"This phone case is acceptable. Works as described, no surprises.",3,neutral
This desk lamp is standard. It does the job but nothing more.,4,neutral
Bought this laptop a few weeks ago. Delivery took about a week. Rating: 3/5.,3,neutral
This air fryer is cheap.,1,negative
"This desk lamp is responsive. That said, delivery took about a week.",3,positive
This air fryer is worth every penny. The build quality is great. Overall it's not bad. Rating: 5/5.,5,positive
This vacuum cleaner is so-so. Delivery took about a week.,4,neutral
This blender is wonderful. Exceeded my expectations.,5,positive
This coffee maker is unreliable.,1,negative
This smartwatch is average. Delivery took about a week. Rating: 3/5.,3,neutral
"This yoga mat is responsive. However, it's fine for the price but I wouldn't rave about it. Rating: 4/5.",4,positive
"This phone case is affordable. Exceeded my expectations. However, it's fine for teh price but I wouldn't rave about it. Rating: 4/5.",4,positive
"This office chair is standard. However, I regret this purchase.",2,neutral
"This vacuum cleaner is comfortable. Works perfectly out of teh box. However, I regret this purchase.",3,positive
This phone case is durable. Setup took less than five minutes.,5,positive
This blender is amazing. Exceeded my expectations.,3,positive
Bought this laptop a few weeks ago. My whole family loves it now. Overall it's could be better.,5,positive
This wireless mouse is subpar. Rating: 1/5.,1,negative
This laptop is acceptable. Packaging was fine.,4,neutral
This phone case is top notch.,4,positive
This running shoes is fast. Exceeded my expectations. Rating: 4/5.,4,positive
Bought this blender a few weeks ago. It does the job but nothing more.,4,neutral
This running shoes is useless. I had to return it after two days. Rating: 2/5.,2,negative
This laptop is so-so. Rating: 2/5.,2,neutral
This wireless mouse is smooth.,5,positive
This desk lamp is so-so. It does the job but nothing more.,3,neutral
This desk lamp is cheap.,2,positive
"This bluetooth speaker is outstanding. Setup took less than five minutes. However, the instructions were confusing.",5,positive
This yoga mat is average.,3,neutral
This backpack is terrible.,1,negative
This coffee maker is durable. Battery life is impressive.,5,positive
"This desk lamp is defective. The instructions were confusing. That said, packaging was fine.",1,negative
This backpack is decent. Packaging was fine.,3,neutral
This backpack is worth every penny. My whole family loves it now. Rating: 5/5.,5,positive
This coffee maker is excellent.,4,positive
This running shoes is reasonable. It's fine for the price but i wouldn't rave about it.,2,neutral
This coffee maker is impressive. Battery life is impressive.,5,positive
This office chair is slow.,1,negative
This vacuum cleaner is faulty. It's louder than advertised.,2,negative
Bought this wireless mouse a few weeks ago.,4,positive
This phone case is sleek. The build quality is great.,4,positive
This coffee maker is well made. Exceeded my expectations.,5,positive
This laptop is average. It does the job but nothing more. Rating: 3/5.,3,neutral
This backpack is worth every penny.,5,positive
This yoga mat is smooth. Battery life is impressive.,5,positive
Bought this vacuum cleaner a few weeks ago.,1,negative
Bought this blender a few weeks ago. Delivery took about a week. Rating: 3/5.,3,neutral
Bought this air fryer a few weeks ago.,2,negative
This office chair is fast. It feels premium for the price.,3,positive
This phone case is poor. Rating: 3/5.,3,negative
"This laptop is average. Some features are useful, others aren't. Also, I had to return it after two days.",4,neutral
"This wireless mouse is standard. Some features are useful, others aren't. Also, works perfectly out of the box.",4,neutral
This laptop is comfortable. Exceeded my expectations. Rating: 5/5.,5,positive
This vacuum cleaner is flimsy.,1,negative
"This running shoes is so-so. That said, works perfectly out of the box. Overall it's not bad.",3,neutral
This office chair is awful. I regret this purchase.,1,negative
This phone case is fine.,4,neutral
This laptop is overpriced.,2,neutral
Bought this yoga mat a few weeks ago. It's fine for the price but i wouldn't rave about it.,3,neutral
This smartwatch is faulty. I had to return it after two days.,2,negative
This phone case is comfortable. I would definitely buy this again.,5,positive
This wireless mouse is reliable. Rating: 5/5.,5,positive
This wireless mouse is smooth.,5,positive
This air fryer is not worth it.,2,negative
This office chair is standard. It's fine for the price but i wouldn't rave about it.,3,neutral
This wireless mouse is middle of the road.,4,neutral
Bought this office chair a few weeks ago. Works perfectly out of the box.,5,positive
This yoga mat is sleek. It feels premium for the price.,5,neutral
This air fryer is excellent. Exceeded my expectations.,5,positive
This yoga mat is great. Setup took less than five minutes.,4,positive
"Bought this yoga mat a few weeks ago. On teh plus side, works as described, no surprises.",2,negative
Bought this office chair a few weeks ago.,2,negative
Bought this blender a few weeks ago. It's fine for teh price but i wouldn't rave about it. Rating: 2/5.,2,neutral
This vacuum cleaner is fantastic.,3,positive
This desk lamp is fantastic. I would definitely buy this again. Rating: 5/5.,5,positive
"Bought this vacuum cleaner a few weeks ago. Setup took less than five minutes. Also, it does the job but nothing more. Rating: 5/5.",5,positive
"This desk lamp is acceptable. Works as described, no surprises.",4,positive
Bought this yoga mat a few weeks ago. I would definitely buy this again. Rating: 4/5.,4,positive
"Bought this backpack a few weeks ago. It feels premium for the price. Also, it does the job but nothing more. Rating: 5/5.",5,positive
This phone case is middle of the road.,2,negative
"This laptop is comfortable. Setup took less than five minutes. However, the size runs way smaller than expected. Rating: 4/5.",4,positive
This smartwatch is durable.,4,negative
"Bought this headphones a few weeks ago. Works as described, no surprises. That said, customer support never responded.",3,neutral
This blender is well made. Setup took less than five minutes.,4,positive
Bought this phone case a few weeks ago.,3,neutral
"Bought this wireless mouse a few weeks ago. Stopped working within a week. That said, customer service was vary helpful. Rating: 1/5.",1,negative
"This phone case is nothing special. It does the job but nothing more. That said, customer service was very helpful.",4,neutral
"Bought this wireless mouse a few weeks ago. However, some features are useful, others aren't.",4,positive
"This bluetooth speaker is uncomfortable. Customer support never responded. On the plus side, battery life is impressive.",3,negative
This blender is worth every penny. Shipping was fast and packaging was solid.,5,positive
"This office chair is useless. Battery drains way too fast. However, shipping was fast and packaging was solid.",1,neutral
This backpack is fantastic.,5,positive
This bluetooth speaker is durable. Exceeded my expectations.,5,positive
This bluetooth speaker is frustrating. It arrived damaged. Rating: 3/5.,3,negative
This air fryer is worth every penny. It feels premium for the price.,5,positive
"Bought this office chair a few weeks ago. Works as described, no surprises.",3,neutral
This office chair is subpar. The instructions were confusing. Rating: 1/5.,1,negative
This vacuum cleaner is impressive. My whole family loves it now.,5,positive
Bought this wireless mouse a few weeks ago.,2,negative
Bought this desk lamp a few weeks ago. The size runs way smaller than expected.,1,negative
This laptop is excellent. Shipping was fast and packaging was solid. Overall it's not as good as I hoped.,3,positive
This desk lamp is well made. Exceeded my expectations.,3,positive
This laptop is acceptable.,2,neutral
This desk lamp is wonderful. Overall it's could be better.,4,positive
"Bought this office chair a few weeks ago. It's louder than advertised. On the plus side, it does the job but nothing more. Rating: 2/5.",2,negative
"This phone case is affordable. It feels premium for teh price. That said, it does the job but nothing more. Rating: 3/5.",3,positive
"Bought this running shoes a few weeks ago. Packaging was fine. That said, shipping was fast and packaging was solid. Rating: 4/5.",4,neutral
This yoga mat is fantastic. Overall it's can't complain.,4,positive
This running shoes is terrible.,2,negative
This desk lamp is middle of the road. It does the job but nothing more.,3,neutral
This air fryer is outstanding. Rating: 5/5.,5,positive
Bought this smartwatch a few weeks ago. Overall it's didn't disappoint.,2,negative
This smartwatch is subpar. It arrived damaged. Rating: 1/5.,1,negative
This phone case is sleek. I would definitely buy this again.,5,positive
This smartwatch is excellent. Exceeded my expectations.,4,positive
This wireless mouse is terrible. I regret this purchase.,2,negative
This running shoes is not worth it. I regret this purchase. Rating: 1/5.,1,negative
"This backpack is wonderful. Works perfectly out of the box. On the plus side, it's fine for the price but I wouldn't rave about it. Overall it's could be better.",4,positive
This office chair is wonderful. Exceeded my expectations.,3,positive
This laptop is top notch. Battery life is impressive. Rating: 3/5.,3,positive
This backpack is affordable.,5,positive
Bought this desk lamp a few weeks ago. It feels premium for the price.,5,positive
"This office chair is slow. It's louder than advertised. However, my whole family loves it now. Overall it's can't complain. Rating: 3/5.",3,negative
This smartwatch is wonderful. My whole family loves it now.,3,positive
This headphones is so-so. Delivery took about a week. Overall it's wouldn't recommend.,4,neutral
This vacuum cleaner is unreliable. Customer support never responded. Rating: 3/5.,3,negative
This blender is well made. The build quality is great.,5,positive
This blender is flimsy. The size runs way smaller than expected. Rating: 1/5.,1,negative
This bluetooth speaker is affordable. Shipping was fast and packaging was solid. Overall it's not bad.,3,positive
This vacuum cleaner is nothing special. Delivery took about a week. Rating: 3/5.,3,negative
Bought this blender a few weeks ago. It does the job but nothing more. Rating: 3/5.,3,neutral
This running shoes is impressive.,4,positive
This office chair is reasonable. Rating: 3/5.,3,neutral
This bluetooth speaker is defective. The instructions were confusing.,2,negative
This laptop is nothing special.,3,neutral
Bought this air fryer a few weeks ago. Battery drains way too fast.,3,negative
"Bought this air fryer a few weeks ago. It feels premium for the price. Also, delivery took about a week.",3,positive
This air fryer is terrible. I had to return it after two days. Rating: 1/5.,1,negative
Bought this blender a few weeks ago. Customer support never responded.,3,negative
This coffee maker is overpriced. The instructions were confusing. Overall it's not great.,2,negative
This air fryer is defective.,1,negative
This phone case is smooth. Exceeded my expectations. Rating: 3/5.,3,positive
This phone case is average. Delivery took about a week.,3,neutral
"This desk lamp is impressive. Shipping was fast and packaging was solid. On the downside, the material feels cheap. Rating: 5/5.",5,positive
"Bought this air fryer a few weeks ago. Some features are useful, others aren't.",3,neutral
Bought this phone case a few weeks ago.,4,positive
"Bought this smartwatch a few weeks ago. Battery life is impressive. On the downside, the size runs way smaller than expected.",5,positive
This wireless mouse is not worth it. The material feels cheap. Rating: 3/5.,3,negative
This bluetooth speaker is terrible. The size runs way smaller than expected.,1,negative
This blender is fantastic.,5,neutral
This wireless mouse is sturdy.,4,positive
This air fryer is superb. Setup took less than five minutes.,4,positive
"This air fryer is top notch. My whole family loves it now. That said, customer support never responded. Rating: 3/5.",3,positive
Bought this wireless mouse a few weeks ago. Setup took less than five minutes.,4,positive
This air fryer is durable.,4,positive
Bought this air fryer a few weeks ago. Customer support never responded.,1,negative
This yoga mat is reasonable.,3,neutral
This smartwatch is durable.,4,positive
This air fryer is flimsy.,2,negative
This blender is average.,2,neutral
This smartwatch is wonderful. Setup took less than five minutes.,5,positive
This vacuum cleaner is average. Packaging was fine.,4,neutral
This desk lamp is awful. The size runs way smaller than expected. Rating: 2/5.,2,negative
This headphones is comfortable. I would definitely buy this again.,4,positive
This vacuum cleaner is broken. It arrived damaged.,3,negative
"This vacuum cleaner is shoddy. However, shipping was fast and packaging was solid. Overall it's not as good as I hoped.",2,negative
This desk lamp is impressive.,5,positive
"This headphones is disappointing. I had to return it after two days. However, packaging was fine. Overall it's can't complain. Rating: 3/5.",3,negative
This office chair is superb. Setup took less than five minutes. Rating: 5/5.,5,positive
This air fryer is fantastic. Setup took less than five minutes.,4,positive
Bought this backpack a few weeks ago. Rating: 5/5.,5,positive
This wireless mouse is badly made.,2,negative
"This laptop is faulty. The instructions were confusing. However, the build quality is great.",3,negative
"This vacuum cleaner is sleek. Customer service was vary helpful. That said, it's louder than advertised.",3,positive
"This smartwatch is faulty. That said, setup took less than five minutes.",1,negative
Bought this vacuum cleaner a few weeks ago. Exceeded my expectations. Rating: 5/5.,5,positive
This vacuum cleaner is worth every penny. Setup took less than five minutes.,5,positive
"This phone case is worth every penny. It feels premium for the price. On the plus side, packaging was fine. Rating: 4/5.",4,positive
"Bought this laptop a few weeks ago. My whole family loves it now. Also, stopped working within a week.",5,positive
This smartwatch is badly made.,2,negative
This desk lamp is worth every penny.,4,positive
This yoga mat is durable. My whole family loves it now. Overall it's wouldn't recommend. Rating: 5/5.,5,positive
This vacuum cleaner is affordable. Exceeded my expectations. Rating: 5/5.,5,positive
This wireless mouse is great. Works perfectly out of the box.,4,positive
This desk lamp is superb. Exceeded my expectations. Rating: 4/5.,4,positive
"Bought this desk lamp a few weeks ago. Some features are useful, others aren't.",2,neutral
This phone case is wonderful.,4,positive
This coffee maker is durable. It feels premium for the price.,5,positive
Bought this backpack a few weeks ago. It's fine for the price but i wouldn't rave about it. Rating: 3/5.,3,neutral
"This phone case is uncomfortable. I had to return it after two days. Also, it does the job but nothing more. Rating: 1/5.",1,negative
This air fryer is superb. Works perfectly out of the box. Rating: 4/5.,4,positive
This wireless mouse is useless. I had to return it after two days.,3,negative
This coffee maker is sleek.,5,positive
This office chair is wonderful. Setup took less than five minutes.,5,positive
This desk lamp is fast. Battery life is impressive.,5,positive
This backpack is terrible. Battery drains way too fast. Rating: 3/5.,3,negative
This headphones is middle of the road. It does the job but nothing more. Rating: 3/5.,3,neutral
This backpack is terrible. I had to return it after two days.,2,negative
This smartwatch is subpar.,2,negative
This phone case is overpriced.,2,negative
This running shoes is sleek. Battery life is impressive.,4,positive
This desk lamp is reasonable.,3,neutral
"This air fryer is so-so. Some features are useful, others aren't.",3,neutral
This backpack is frustrating. I regret this purchase.,2,negative
This wireless mouse is solid.,5,neutral
Bought this headphones a few weeks ago. Rating: 3/5.,3,neutral
This desk lamp is fine.,3,neutral
This blender is decent. It does the job but nothing more.,3,neutral
This smartwatch is flimsy. It's louder than advertised.,1,negative
This coffee maker is fine. It's fine for the price but i wouldn't rave about it. Rating: 3/5.,3,neutral
This laptop is acceptable. It does the job but nothing more.,2,neutral
This headphones is poor.,3,negative
This smartwatch is defective.,1,negative
Bought this blender a few weeks ago. Setup took less than five minutes. Rating: 3/5.,3,positive
This headphones is comfortable. Shipping was fast and packaging was solid. Rating: 3/5.,3,positive
"This laptop is middle of the road. It's fine for the price but i wouldn't rave about it. On the downside, I regret this purchase.",3,neutral
This wireless mouse is superb. Shipping was fast and packaging was solid. Rating: 5/5.,5,positive
"This office chair is terrible. It arrived damaged. However, some features are useful, others aren't.",2,negative
This wireless mouse is top notch.,5,positive
This smartwatch is responsive. Shipping was fast and packaging was solid.,3,positive
"Bought this running shoes a few weeks ago. Also, stopped working within a week. Rating: 4/5.",4,positive
This coffee maker is reasonable.,4,neutral
This vacuum cleaner is flimsy. The material feels cheap.,2,negative
Bought this blender a few weeks ago. Overall it's not as good as I hoped.,3,positive
Bought this wireless mouse a few weeks ago. The build quality is great.,4,negative
This bluetooth speaker is smooth. The build quality is great.,5,positive
"This blender is superb. Battery life is impressive. Also, it's fine for the price but I wouldn't rave about it.",4,positive
"This office chair is responsive. That said, it's fine for the price but I wouldn't rave about it.",4,positive
This bluetooth speaker is defective. I had to return it after two days. Rating: 1/5.,1,negative
Bought this yoga mat a few weeks ago. I had to return it after two days.,2,negative
This smartwatch is affordable.,4,positive
This smartwatch is sleek.,5,positive
This office chair is excellent. Setup took less than five minutes. Overall it's not bad.,3,positive
This bluetooth speaker is comfortable.,5,positive
"This smartwatch is shoddy. I regret this purchase. Also, it's fine for the price but I wouldn't rave about it.",2,negative
This air fryer is fast. My whole family loves it now. Overall it's not bad. Rating: 5/5.,5,positive
This desk lamp is wonderful. Customer service was very helpful.,5,positive
This air fryer is faulty.,3,negative
This backpack is subpar.,2,negative
"This smartwatch is nothing special. Works as described, no surprises. On the plus side, shipping was fast and packaging was solid.",3,neutral
"This phone case is superb. Works perfectly out of the box. That said, stopped working within a week.",4,positive
This wireless mouse is reasonable.,3,neutral
This bluetooth speaker is great. Customer service was very helpful.,5,positive
"This blender is impressive. Shipping was fast and packaging was solid. However, it's fine for the price but I wouldn't rave about it.",4,positive
Bought this bluetooth speaker a few weeks ago. I would definitely buy this again. Rating: 5/5.,5,positive
This smartwatch is impressive. Shipping was fast and packaging was solid.,3,positive
"Bought this bluetooth speaker a few weeks ago. Setup took less than five minutes. Also, battery drains way too fast. Rating: 4/5.",4,positive
This office chair is solid.,4,positive
This bluetooth speaker is fine. It does the job but nothing more. Rating: 2/5.,2,neutral
This laptop is nothing special. Packaging was fine.,2,neutral
"This blender is great. Also, it arrived damaged.",5,positive
"This running shoes is clunky. The size runs way smaller than expected. That said, my whole family loves it now. Overall it's wouldn't reccomend.",1,negative
This bluetooth speaker is overpriced. Rating: 2/5.,2,positive
"Bought this blender a few weeks ago. Some features are useful, others aren't. Rating: 3/5.",3,neutral
"Bought this coffee maker a few weeks ago. Delivery took about a week. However, the instructions were confusing. Overall it's wouldn't recommend.",4,neutral
"This laptop is overpriced. I regret this purchase. However, I would definately buy this again.",2,negative
"This wireless mouse is comfortable. On the plus side, it does the job but nothing more.",4,positive
This office chair is durable.,4,positive
Bought this phone case a few weeks ago. Rating: 4/5.,4,positive
Bought this vacuum cleaner a few weeks ago. It arrived damaged.,3,negative
"This coffee maker is acceptable. It does the job but nothing more. However, the instructions were confusing. Rating: 3/5.",3,neutral
"This blender is durable. I would definately buy this again. However, customer support never responded. Rating: 4/5.",4,positive
This wireless mouse is reliable. I would definitely buy this again. Rating: 4/5.,4,positive
This headphones is sleek. It feels premium for the price.,3,positive
This bluetooth speaker is wonderful. Battery life is impressive. Rating: 5/5.,5,positive
This smartwatch is useless. I regret this purchase. Overall it's not great.,1,negative
This yoga mat is disappointing. Rating: 1/5.,1,negative
Bought this laptop a few weeks ago.,2,negative
Bought this desk lamp a few weeks ago. Rating: 2/5.,2,neutral
Bought this coffee maker a few weeks ago.,5,neutral
This air fryer is superb. Exceeded my expectations. Rating: 3/5.,3,positive
Bought this running shoes a few weeks ago.,5,positive
Bought this headphones a few weeks ago. Stopped working within a week. Rating: 1/5.,1,negative
This phone case is middle of the road. It does the job but nothing more.,3,neutral
This vacuum cleaner is slow. It arrived damaged.,3,negative
This office chair is impressive. The build quality is great.,5,positive
This smartwatch is subpar.,3,negative
This running shoes is standard.,2,neutral
This laptop is wonderful. Overall it's can't complain.,4,positive
"This backpack is top notch. Setup took less than five minutes. Also, it's fine for the price but I wouldn't rave about it. Rating: 5/5.",5,positive
This blender is smooth.,5,positive
"Bought this backpack a few weeks ago. Stopped working within a week. That said, the build qaulity is great.",2,negative
This phone case is solid.,5,positive
This smartwatch is worth every penny.,5,positive
"This desk lamp is awful. Stopped working within a week. Also, it does the job but nothing more. Rating: 3/5.",3,negative
This backpack is terrible. I had to return it after two days.,1,negative
This laptop is awful. I had to return it after two days.,2,negative
Bought this smartwatch a few weeks ago. The build quality is great.,4,positive
"This smartwatch is reliable. Battery life is impressive. That said, the size runs way smaller than expected.",5,positive
"This air fryer is responsive. My whole family loves it now. That said, battery drains way too fast.",5,positive
Bought this yoga mat a few weeks ago. My whole family loves it now. Rating: 4/5.,4,positive
Bought this blender a few weeks ago.,3,neutral
Bought this vacuum cleaner a few weeks ago. My whole family loves it now.,5,positive
This bluetooth speaker is superb. Exceeded my expectations.,5,positive
This headphones is not worth it. The size runs way smaller than expected.,1,negative
Bought this air fryer a few weeks ago. I had to return it after two days.,2,negative
"This wireless mouse is nothing special. Delivery took about a week. That said, exceeded my expectations.",3,neutral
This office chair is defective. It arrived damaged.,1,negative
This wireless mouse is so-so. It's fine for the price but i wouldn't rave about it. Rating: 3/5.,3,neutral
This yoga mat is decent.,3,neutral
This air fryer is fine. Delivery took about a week.,3,neutral
This desk lamp is amazing.,4,positive
This wireless mouse is amazing. Customer service was very helpful.,3,positive
This smartwatch is reliable. It feels premium for the price.,5,positive
"This backpack is acceptable. However, it's louder than advertised. Overall it's not as good as I hoped.",3,neutral
This vacuum cleaner is standard.,2,neutral
"This backpack is top notch. That said, stopped working within a week. Rating: 5/5.",5,positive
This backpack is responsive. My whole family loves it now.,3,positive
"This blender is top notch. On teh plus side, it does the job but nothing more.",5,negative
This running shoes is uncomfortable. Customer support never responded. Overall it's wouldn't recommend.,3,negative
"Bought this running shoes a few weeks ago. Some features are useful, others aren't. Rating: 2/5.",2,neutral
"This smartwatch is great. It feels premium for the price. On the downside, I had to return it after two days. Overall it's not great.",5,positive
"This coffee maker is comfortable. Exceeded my expectations. On the downside, the instructions were confusing. Rating: 4/5.",4,positive
This wireless mouse is affordable. Overall it's didn't disappoint.,4,positive
This smartwatch is frustrating.,1,negative
This wireless mouse is sleek. Works perfectly out of the box. Rating: 5/5.,5,positive
"This running shoes is defective. Battery drains way too fast. On the plus side, setup took less than five minutes. Overall it's not great. Rating: 3/5.",3,negative
This blender is clunky. Rating: 2/5.,2,negative
This phone case is wonderful. Shipping was fast and packaging was solid. Overall it's can't complain.,4,positive
"This blender is impressive. Battery life is impressive. That said, packaging was fine. Rating: 4/5.",4,positive
"Bought this laptop a few weeks ago. It's fine for the price but i wouldn't rave about it. On the downside, battery drains way too fast.",3,neutral
"This office chair is subpar. It's louder than advertised. However, works as described, no surprises.",1,negative
This wireless mouse is durable. Works perfectly out of the box. Rating: 3/5.,3,positive
This desk lamp is smooth.,4,positive
This bluetooth speaker is comfortable.,4,positive
This vacuum cleaner is fantastic. The build quality is great.,4,positive
Bought this yoga mat a few weeks ago. Shipping was fast and packaging was solid.,5,positive
This yoga mat is outstanding. The build quality is great. Overall it's can't complain.,4,positive
"Bought this bluetooth speaker a few weeks ago. Works as described, no surprises.",2,neutral
"This headphones is uncomfortable. The size runs way smaller than expected. That said, customer service was very helpful. Overall it's not as good as I hoped.",3,negative
This backpack is so-so. It's fine for the price but i wouldn't rave about it. Overall it's wouldn't recommend.,3,neutral
This desk lamp is clunky. Rating: 1/5.,1,negative
"This backpack is decent. On the plus side, exceeded my expectations.",3,neutral
This office chair is awful. It's louder than advertised.,2,negative
Bought this phone case a few weeks ago. My whole family loves it now. Rating: 5/5.,5,positive
"This blender is durable. It feels premium for the price. Also, packaging was fine.",5,positive
Bought this wireless mouse a few weeks ago. I regret this purchase.,2,negative
This running shoes is standard. Delivery took about a week.,3,neutral
"This blender is shoddy. It's louder than advertised. However, some features are useful, others aren't.",3,negative
"This phone case is smooth. Exceeded my expectations. That said, it's louder than advertised.",5,positive
"This coffee maker is terrible. On the plus side, it's fine for the price but I wouldn't rave about it.",2,negative
This phone case is cheap.,2,negative
"Bought this backpack a few weeks ago. However, works perfectly out of the box.",1,negative
This air fryer is sturdy. Shipping was fast and packaging was solid.,5,positive
This laptop is subpar. The instructions were confusing.,3,negative
This laptop is reasonable. It does the job but nothing more.,3,neutral
"Bought this desk lamp a few weeks ago. Delivery took about a week. Also, my whole family loves it now.",3,neutral
"This office chair is awful. It's louder than advertised. Also, it does the job but nothing more.",1,negative
This smartwatch is awful. Rating: 2/5.,2,negative
This coffee maker is fast. Exceeded my expectations. Overall it's didn't disappoint. Rating: 3/5.,3,positive
"This wireless mouse is superb. That said, the material feels cheap. Rating: 5/5.",5,positive
"This phone case is solid. Setup took less than five minutes. However, some features are useful, others aren't.",3,positive
Bought this phone case a few weeks ago. Battery drains way too fast. Overall it's didn't disappoint.,2,negative
"Bought this phone case a few weeks ago. It arrived damaged. On the plus side, delivery took about a week.",1,negative
This headphones is slow. It's louder than advertised. Rating: 2/5.,2,negative
"This headphones is poor. It's louder than advertised. However, my whole family loves it now. Overall it's could be better. Rating: 1/5.",1,negative
This yoga mat is middle of teh road. Delivery took about a week.,4,neutral
"This desk lamp is frustrating. Battery drains way too fast. On the plus side, exceeded my expectations.",1,negative
"This yoga mat is cheap. Battery drains way too fast. On the plus side, shipping was fast and packaging was solid.",1,negative
This headphones is reasonable. Delivery took about a week.,2,neutral
Bought this phone case a few weeks ago. I had to return it after two days.,1,negative
